Home > Look Up Classes																	
Go to Main Content																	
																	
University of South Carolina (BILD)																	
																	
Skip Module Navigation Links																	
																	
Personal Information		Student		Account Information		Faculty Services											
																	
Search Search  	RETURN TO MENU | SITE MAP | HELP | EXIT																
Look Up Classes		N58254250 Manton M. Matthews															
		Spring 2017															
		2/14/17 15:46															
																	
																	
	Select the box in front of the CRN (C identifies a closed class) and choose Register or Add to Worksheet.																
																	
	Important Deadlines You Need to Know																
																	
Sections Found																	
CSCE - Comp Sci & Comp Engr																	
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Part of Term	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
C	52485	CSCE	102	Z01	COL	3	3AF - Columbia	General Applications Programming		TBA	15	15	0	James Orren McKay (P)	01/09-05/02	3WEB 1	ARP Analytical Reasoning and Ft. Jackson Location
C	48711	CSCE	102	Z1B	COL	3	3B0 - Columbia	General Applications Programming		TBA	15	16	-1	James Orren McKay (P)	03/13-05/02	3WEB 1	ARP Analytical Reasoning and Ft. Jackson Location
C	40703	CSCE	145	1	COL	4	30 - Columbia Full Term	Algorithmic Design I	MW	01:10 pm-02:00 pm	24	25	-1	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	ARP Analytical Reasoning
									TR	08:00 am-10:00 am				Zhiyuan Li	01/09-04/24	SWGN 1D11	ARP Analytical Reasoning
C	40704	CSCE	145	2	COL	4	30 - Columbia Full Term	Algorithmic Design I	MW	01:10 pm-02:00 pm	24	24	0	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	ARP Analytical Reasoning
									TR	10:05 am-12:05 pm				Nare Karapetyan	01/09-04/24	SWGN 1D11	ARP Analytical Reasoning
C	40705	CSCE	145	3	COL	4	30 - Columbia Full Term	Algorithmic Design I	MW	01:10 pm-02:00 pm	24	27	-3	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	ARP Analytical Reasoning
									TR	01:15 pm-03:15 pm				Zhonghao Liu	01/09-04/24	SWGN 1D11	ARP Analytical Reasoning
C	40706	CSCE	145	4	COL	4	30 - Columbia Full Term	Algorithmic Design I	MW	01:10 pm-02:00 pm	24	24	0	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	ARP Analytical Reasoning
									TR	03:30 pm-05:30 pm				Ruofan Xia	01/09-04/24	SWGN 1D11	ARP Analytical Reasoning
C	40707	CSCE	145	5	COL	4	30 - Columbia Full Term	Algorithmic Design I	MW	01:10 pm-02:00 pm	24	24	0	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	ARP Analytical Reasoning
									TR	05:50 pm-07:50 pm				Ruofan Xia	01/09-04/24	SWGN 1D11	ARP Analytical Reasoning
C	40708	CSCE	145	6	COL	4	30 - Columbia Full Term	Algorithmic Design I	MW	01:10 pm-02:00 pm	23	23	0	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	ARP Analytical Reasoning
